MLS,CurrentPrice,SquareFeet,Bedrooms,Bathrooms,Garage,YearBuilt,LotSize,Taxes,DaysonMarket,OriginalPrice
4032814,135000,1648,5,2,0,1900,3500,1510,329,135000
4029319,329000,5000,5,4,2,1972,19602,3604,477,389000
4039336,132840,1667,4,2,2,1900,7000,1412,29,132840
4029024,119900,2866,4,2,0,1900,3010,1440,458,119900
4031415,99900,1058,2,1,1,1880,4284,1056,363,99900
4033618,53900,780,2,1,1,1885,,1028,280,59000
4023667,95000,2100,3,2,1,1870,4620,1036,741,112900
4035422,160000,3108,4,3,1,1913,6020,1484,182,160000
4035738,102900,1240,3,1,2,1890,7450,996,173,104900
4039898,119900,1880,2,1,2,1870,280,1312,6,119900
4029768,109900,927,2,1.5,2,1890,7500,928,462,124900
4034358,168500,1760,3,2,1,1973,9100,1750,220,168500
4035999,234500,3029,4,4,2,1994,,3158,159,238500
4037351,139500,2709,5,2,3,1913,7000,2950,119,149500
4039504,169900,2676,4,2.5,2,1952,,1970,22,179900
4032538,124900,3525,4,2,1,1880,4950,1412,335,128500
4038762,339500,4500,5,4,3,2001,13068,4170,56,339500
4015197,209900,1778,5,1,3,1908,,2561,1061,249900
4036095,149900,2688,4,2,1,1961,10000,1882,160,169900
4039001,149900,2860,3,3,2,1956,10080,1850,49,159900
4036337,79900,784,2,1,1,1955,3150,746,148,79900
4037348,49900,2544,3,1,0,1886,3500,696,115,49900
4039496,167500,2196,3,2,2,1977,7812,1740,23,167500
4035570,209500,3318,4,3,2,2001,,2574,174,239900
4039357,139900,1244,3,2,1,1959,9000,1514,34,139900
4032115,269000,3707,6,4,3,1992,11480,3264,361,294900
4039798,126200,1569,2,1,1,1953,18495,1560,10,122600
4034551,249900,2704,3,3,4,1990,,2590,217,249900
4038932,97900,1100,2,2,1,1890,5480,984,45,97900
4033590,49900,616,2,1,,1890,,734,183,59000
4033124,305000,4056,4,3,2,1880,14896,2582,312,329900
4039771,122500,1328,3,1,1,1896,7500,1158,10,122500
